periodo,producto,fecha_creacion,fecha_ultimo_pago,valor_original,valor_pagado,valor_pendiente,tipo_transaccion,pagada
2025-10,AHORRO,2024-10-25,2025-01-14,7247.49,7247.49,0.0,TRANSFERENCIA BANCA MOVIL,1
2025-10,AHORRO,2025-01-20,2025-06-12,1164.41,1164.41,0.0,TRANSFERENCIA BILLETERA A,1
2025-10,AHORRO,2024-11-21,2025-01-01,422.16,422.16,0.0,DEBITO OBLIGACION FINANCIERA,1
2025-10,AHORRO,2024-11-28,2024-12-01,6246.0,0.0,6246.0,PAGO CANAL QR,0
2025-10,AHORRO,2025-01-04,2025-08-07,1302.78,1302.78,0.0,COMISION RETIRO CANAL A,1
2025-10,AHORRO,2024-10-28,2025-09-05,1588.6,1429.74,158.86,COMISION RETIRO CORRESPONSAL B,0
2025-10,AHORRO,2024-11-19,2025-06-04,7463.87,7463.87,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-14,2025-05-05,583.97,583.97,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-02-16,2025-07-09,346.04,346.04,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2025-03-19,2025-06-13,859.82,859.82,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2025-03-23,2025-07-14,15432.26,15432.26,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-10-21,2024-11-25,615.91,615.91,0.0,CARGO FISCAL IVA COMISION B,1
2025-10,CORRIENTE,2025-02-22,2025-09-20,75.38,75.38,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-05-17,2025-09-09,166.81,166.81,0.0,RETIRO CANAL B,1
2025-10,AHORRO,2025-07-12,2025-10-07,1268.02,1268.02,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-05,2025-07-28,1867.93,1867.93,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-11-21,2025-07-21,1094.59,1094.59,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-03-25,2025-07-26,607.59,607.59,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2024-11-25,2025-09-27,2652.4,2652.4,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2025-01-12,2025-09-28,507.19,507.19,0.0,TRANSFERENCIA BILLETERA A,1
2025-10,AHORRO,2025-01-16,2025-03-20,2354.68,0.0,2354.68,COBRO SERVICIO TRANSPORTE,0
2025-10,AHORRO,2024-10-22,2025-02-22,2026.3,2026.3,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-03-03,2025-05-18,657.54,657.54,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-02-22,2025-04-11,10984.26,8274.13,2710.13,COBRO SERVICIO TRANSPORTE,0
2025-10,AHORRO,2025-03-29,2025-09-13,489.48,489.48,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-07-05,2025-08-03,465.44,465.44,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-04-29,2025-09-10,15590.95,0.0,15590.95,COMISION TRANSFERENCIA EXTERNA B,0
2025-10,AHORRO,2024-10-19,2025-07-04,15090.4,15090.4,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-04-12,2025-04-15,1441.13,0.0,1441.13,COMISION CONSULTA SALDO,0
2025-10,AHORRO,2025-02-25,2025-06-21,3292.33,3292.33,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2025-07-06,2025-10-02,756.8,756.8,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-11-02,2025-04-26,9373.91,3577.69,5796.22,COBRO SERVICIO TRANSPORTE,0
2025-10,AHORRO,2024-12-20,2025-07-18,174.73,174.73,0.0,CXC DEPOSITO CANAL,1
2025-10,AHORRO,2024-10-16,2025-01-03,7212.9,2189.78,5023.12,CARGO FISCAL IVA B,0
2025-10,AHORRO,2025-06-11,2025-09-30,1462.18,1462.18,0.0,COMISION RETIRO CANAL A,1
2025-10,AHORRO,2025-06-22,2025-07-18,990.9,990.9,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-04-27,2025-06-04,1831.36,1831.36,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2025-03-24,2025-08-30,319.29,287.36,31.93,COBRO SERVICIO TRANSPORTE,0
2025-10,AHORRO,2024-12-04,2025-04-28,1988.38,1988.38,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-12-14,2025-09-07,10196.1,10196.1,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-02-12,2025-08-19,5425.68,4883.11,542.57,PAGO AUTOMATICO TARJETA B,0
2025-10,AHORRO,2025-06-15,2025-07-30,7270.09,7270.09,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-05-03,2025-06-08,10405.96,10405.96,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-12-29,2025-05-24,3007.7,3007.7,0.0,RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2024-12-10,2025-08-11,20270.96,20270.96,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-04-11,2025-06-19,522.24,522.24,0.0,COMISION CONSULTA EXTERNO,1
2025-10,AHORRO,2025-02-17,2025-07-26,4611.51,4611.51,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-04-08,2025-08-09,5129.7,5129.7,0.0,COMISION RETIRO INTERNACIONAL,1
2025-10,AHORRO,2025-04-28,2025-06-22,121133.18,121133.18,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2025-02-01,2025-04-06,3598.18,3598.18,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2025-05-13,2025-06-16,125360.81,0.0,125360.81,COMISION RETIRO CANAL A,0
2025-10,AHORRO,2025-06-11,2025-07-23,10493.3,10493.3,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-11-02,2025-03-15,5844.56,5844.56,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2025-07-01,2025-10-02,402.84,374.78,28.06,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-05-04,2025-09-18,8139.09,7325.18,813.91,CARGO FISCAL IVA TRASLADO,0
2025-10,AHORRO,2025-06-14,2025-07-12,1158.84,1158.84,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-04-18,2025-06-17,96.88,96.88,0.0,CARGO FISCAL IVA COMISION B,1
2025-10,AHORRO,2024-11-08,2024-12-12,10869.64,10869.64,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-19,2025-06-29,342.63,342.63,0.0,TRANSFERENCIA BILLETERA A,1
2025-10,AHORRO,2025-05-01,2025-07-05,1173.12,1173.12,0.0,COMPRA ESTABLECIMIENTO A,1
2025-10,AHORRO,2025-03-18,2025-04-07,1774.98,1774.98,0.0,CXC DEPOSITO CANAL,1
2025-10,AHORRO,2024-11-27,2024-12-07,1278.77,1278.77,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-06-01,2025-06-09,28055.76,28055.76,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-11,2025-05-29,314.19,314.19,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-12-06,2025-01-02,1243.0,1243.0,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-05-31,2025-08-11,5910.59,5910.59,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-11-30,2025-01-15,951.3,951.3,0.0,TRANSFERENCIA BOTON DIGITAL,1
2025-10,AHORRO,2025-06-19,2025-09-18,2220.33,2220.33,0.0,CARGO FISCAL IVA TRASLADO,1
2025-10,AHORRO,2025-03-05,2025-10-10,197.2,197.2,0.0,COMISION CONSULTA SALDO,1
2025-10,AHORRO,2025-04-18,2025-07-22,3035.78,3035.78,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-10-17,2025-07-28,4063.58,4063.58,0.0,CARGO FISCAL IVA A,1
2025-10,AHORRO,2025-05-27,2025-08-22,1998.7,1998.7,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-05-28,2025-09-09,917.94,917.94,0.0,CARGO FISCAL IVA COMISION B,1
2025-10,AHORRO,2025-03-03,2025-04-21,751.91,751.91,0.0,CARGO FISCAL IVA CANAL VIRTUAL,1
2025-10,AHORRO,2025-01-11,2025-07-22,4433.77,4433.77,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-04-02,2025-08-24,1859.35,1859.35,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-10-26,2025-07-03,2019.18,2019.18,0.0,APERTURA INVERSION VIRTUAL,1
2025-10,AHORRO,2025-01-03,2025-08-27,1894.29,1894.29,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-12-25,2025-08-27,6335.09,5701.58,633.51,COBRO SERVICIO TRANSPORTE,0
2025-10,AHORRO,2025-05-11,2025-05-17,7759.61,7759.61,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-05-23,2025-08-23,1784.95,1784.95,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-01-13,2025-04-08,729.71,656.74,72.97,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-04-23,2025-08-25,10343.08,9222.26,1120.82,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2024-11-30,2025-01-09,618.77,618.77,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,CORRIENTE,2025-01-23,2025-05-27,2524.26,2116.73,407.53,PAGO SERVICIO ELECTRONICO,0
2025-10,AHORRO,2024-12-13,2025-07-30,2139.33,2139.33,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-11-05,2025-06-13,5439.64,5439.64,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-11-17,2025-10-05,3502.34,3502.34,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-03-02,2025-09-22,1957.66,1957.66,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2025-04-20,2025-07-18,1253.16,1253.16,0.0,TRANSFERENCIA BANCA MOVIL,1
2025-10,AHORRO,2024-12-13,2025-08-07,5276.72,0.0,5276.72,COBRO SERVICIO TRANSPORTE,0
2025-10,AHORRO,2024-12-07,2025-01-13,300.55,0.0,300.55,COMISION TRANSFERENCIA EXTERNA B,0
2025-10,CORRIENTE,2024-10-12,2025-08-11,973.16,0.0,973.16,TRANSFERENCIA BANCA MOVIL,0
2025-10,AHORRO,2025-01-02,2025-05-10,458.86,458.86,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-05-06,2025-09-23,1234.49,1234.49,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-03-05,2025-07-17,34616.95,34616.95,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-05-23,2025-06-02,7070.58,7070.58,0.0,CARGO FISCAL IVA TRASLADO,1
2025-10,AHORRO,2025-04-15,2025-10-01,3227.13,2886.44,340.69,COMISION RETIRO CANAL A,0
2025-10,AHORRO,2025-05-22,2025-07-15,588.44,0.0,588.44,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-05-20,2025-06-27,703.62,703.62,0.0,TRANSFERENCIA CANAL QR,1
2025-10,AHORRO,2025-04-14,2025-07-18,600.44,540.4,60.04,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2025-01-12,2025-08-12,4868.34,4868.34,0.0,ABONO CREDITO MORA,1
2025-10,AHORRO,2025-01-02,2025-07-24,1149.56,1149.56,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-05-26,2025-07-17,1689.42,1689.42,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-17,2025-03-12,157.9,142.11,15.79,COMISION CONSULTA SALDO,0
2025-10,AHORRO,2024-10-20,2025-04-20,1769.52,1769.52,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-06-04,2025-07-20,13718.19,13718.19,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2025-04-20,2025-08-19,662.21,662.21,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-06-05,2025-08-20,1763.71,1763.71,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-04-20,2025-09-02,11009.58,11009.58,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-04-09,2025-06-29,1802.11,1802.11,0.0,TRANSFERENCIA BILLETERA DIGITAL,1
2025-10,AHORRO,2025-07-02,2025-10-05,668.81,668.81,0.0,COMISION EXPEDICION DOCUMENTO,1
2025-10,AHORRO,2025-01-31,2025-04-07,2624.55,2624.55,0.0,PAGO SEGURO FINANCIERO,1
2025-10,CORRIENTE,2025-01-11,2025-03-17,7628.38,7628.38,0.0,CARGO FISCAL IVA COMISION B,1
2025-10,AHORRO,2024-11-17,2025-05-12,13342.65,12008.39,1334.26,COBRO SERVICIO TRANSPORTE,0
2025-10,AHORRO,2024-10-12,2025-06-19,809.07,809.07,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-03-19,2025-06-15,1129.28,1129.28,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-03-31,2025-09-27,3680.91,3680.91,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2025-03-16,2025-06-27,468.67,468.67,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-11-06,2025-06-16,3397.11,3397.11,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-01-02,2025-08-30,1582.69,1582.69,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-23,2025-06-19,763.23,686.91,76.32,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2024-12-30,2025-06-28,349.68,349.68,0.0,CARGO FISCAL IVA B,1
2025-10,AHORRO,2024-12-13,2025-05-19,3055.25,3055.25,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-06-10,2025-08-02,847.68,847.68,0.0,TRANSFERENCIA BILLETERA A,1
2025-10,AHORRO,2025-04-27,2025-10-10,5089.69,0.0,5089.69,COMISION TRANSFERENCIA EXTERNA B,0
2025-10,AHORRO,2025-06-05,2025-08-17,4738.65,4738.65,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-12-11,2025-06-07,385.91,385.91,0.0,PAGO SERVICIO ELECTRONICO,1
2025-10,AHORRO,2025-03-13,2025-03-22,1755.05,1755.05,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-12-04,2025-02-15,367.81,367.81,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-12-23,2025-06-07,11600.93,11600.93,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-29,2025-08-08,2088.4,2088.4,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-01-02,2025-04-08,927.42,927.42,0.0,COMISION RETIRO CANAL A,1
2025-10,AHORRO,2025-01-11,2025-06-14,3012.3,3012.3,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-03-03,2025-09-22,23992.6,23992.6,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2025-06-19,2025-07-27,3458.4,3458.4,0.0,ABONO CREDITO MORA,1
2025-10,AHORRO,2024-10-14,2025-08-26,12707.91,12707.91,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-12-29,2025-08-24,1408.57,1408.57,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-04-19,2025-07-28,2614.83,2614.83,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-01-10,2025-09-03,17027.72,17027.72,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-05-21,2025-07-30,1612.9,1612.9,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-10-16,2025-01-22,36142.98,0.0,36142.98,PAGO SERVICIO ELECTRONICO,0
2025-10,AHORRO,2025-06-04,2025-07-24,1065.21,958.69,106.52,COMISION RETIRO INTERNACIONAL,0
2025-10,AHORRO,2025-06-29,2025-08-30,3267.62,3267.62,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2024-11-24,2025-03-20,8449.47,8449.47,0.0,RETIRO CANAL B,1
2025-10,AHORRO,2024-12-27,2025-02-19,462.52,462.52,0.0,TRANSFERENCIA BILLETERA A,1
2025-10,AHORRO,2025-01-02,2025-04-14,3408.66,3408.66,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-05-28,2025-09-30,298.94,298.94,0.0,COMISION CONSULTA SALDO,1
2025-10,AHORRO,2024-11-30,2025-07-09,1061.28,1061.28,0.0,CARGO FISCAL IVA COMISION B,1
2025-10,AHORRO,2025-01-07,2025-02-21,7065.7,7065.7,0.0,TRANSFERENCIA BILLETERA A,1
2025-10,AHORRO,2025-03-05,2025-06-15,4851.25,4851.25,0.0,CARGO FISCAL IVA TRASLADO,1
2025-10,AHORRO,2025-02-24,2025-07-22,25857.92,0.0,25857.92,PAGO TARJETA CREDITO B,0
2025-10,AHORRO,2025-04-03,2025-07-18,6826.61,6826.61,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2024-11-11,2025-02-10,1388.65,1388.65,0.0,TRANSFERENCIA BILLETERA A,1
2025-10,AHORRO,2024-11-05,2025-02-20,218.45,218.45,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-02-02,2025-08-25,1170.77,1053.69,117.08,COMISION RETIRO CORRESPONSAL B,0
2025-10,AHORRO,2025-07-03,2025-08-24,14672.13,14672.13,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-05-30,2025-08-07,28419.69,28419.69,0.0,TRANSFERENCIA BOTON DIGITAL,1
2025-10,AHORRO,2025-03-24,2025-03-30,5493.7,4944.33,549.37,COMISION RETIRO CANAL A,0
2025-10,AHORRO,2024-10-26,2025-09-05,12780.25,12780.25,0.0,TRANSFERENCIA BOTON DIGITAL,1
2025-10,AHORRO,2025-05-26,2025-06-18,9503.68,8553.31,950.37,CARGO FISCAL TRANSACCIONAL,0
2025-10,AHORRO,2024-12-21,2025-06-19,4575.93,4575.93,0.0,COMISION RETIRO CORRESPONSAL B,1
2025-10,AHORRO,2025-06-12,2025-08-08,374.06,374.06,0.0,COMISION TRANSFERENCIA EXTERNA B,1
2025-10,AHORRO,2025-02-17,2025-09-24,14940.44,14940.44,0.0,CARGO FISCAL IVA COMISION B,1
2025-10,AHORRO,2024-12-16,2025-04-25,871.64,871.64,0.0,COMISION RETIRO CANAL A,1
2025-10,AHORRO,2025-05-25,2025-06-23,432.53,432.53,0.0,PAGO AUTOMATICO TARJETA B,1
2025-10,AHORRO,2025-02-01,2025-03-19,226.7,226.7,0.0,COBRO SERVICIO TRANSPORTE,1
2025-10,AHORRO,2025-01-01,2025-01-15,5157.67,5157.67,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-02-01,2025-05-14,10758.58,10758.58,0.0,CARGO FISCAL TRANSACCIONAL,1
2025-10,AHORRO,2025-01-31,2025-07-16,475.42,149.34,326.08,CARGO FISCAL IVA A,0
2025-10,AHORRO,2025-01-22,2025-09-15,3923.61,3923.61,0.0,COBRO SERVICIO TRANSPORTE,1
